id,video[0].url,video[1].url,video[2].url,video[3].url,video[4].url,video[5].url,video[6].url,video[7].url,video[8].url,video[9].url,video[10].url,video[11].url,video[0].tag[0]
prod_001,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_001_drift_1x1.mp4,shoes
prod_002,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_002_drift_1x1.mp4,outerwear
prod_003,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_003_drift_1x1.mp4,apparel
prod_004,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_004_drift_1x1.mp4,bags
prod_005,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_005_drift_1x1.mp4,accessories
prod_006,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_006_drift_1x1.mp4,apparel
prod_007,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_007_drift_1x1.mp4,electronics
prod_008,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_008_drift_1x1.mp4,accessories
prod_009,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_009_drift_1x1.mp4,shoes
prod_010,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomin_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomin_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomin_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_pan_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_pan_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_pan_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomout_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomout_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_zoomout_1x1.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_drift_4x5.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_drift_9x16.mp4,https://abhinav14kr.github.io/meta-catalog-demo/videos/prod_010_drift_1x1.mp4,shoes
